rating,review_text,review_full_text,isToxic,toxicScore
3,Nice,"Disappointed.

The realme x has better camera than this .. realme x has better clearity and crispy images .. what the say is pro camera seriously worst camera in this series totally disappointed kindly push update for camera",False,0.0220628
3,Just okay,all are good ..but Battery draning very fast,False,0.1353023
3,Does the job,"I was using Oppo F3 Plus gold prior to buying this mobile.I have exchanged my Oppo F3 Plus with this phone. I love listening to music on speakers. For some reason the speaker of realme 6 Pro is very distortive and very different sound. I have tried connecting to my home theatre through audio Jack, It's not that great.
Display at times Flickr. After yesterday software update its quiet different. Overall I rate 3 out of 5 for this phone as per my needs and expectations.",False,0.01453228
3,Just okay,"After using for 3 days I am writing this review
mobile performance is absolutely good but I disappointed for it's design,It's design is not exactly what they shown in advertisements ,I bought blue colour varient but it looks like black colour,so I don't preffer this phone who are attracted for it's design",False,0.03379172
3,Does the job,"Good mobile with big screen, But battery is drying very fast with in 3-4 hours for normal use only",False,0.02524403
3,Decent product,"Camera quality is best ,, but noisy picture 
Gaming performance are so good.....
Buttery backup so nice ...

Overall this smartphone is no.1 Quality...

1.Push updates for camera clarity ....For noise....",False,0.1261356
3,Fair,Very good,False,0.009462104
3,Decent product,"Google Chrome hang after 20-30 mins use. Even I didn't open more than 2 tabs in Chrome.
Over hype phone nothing special than Back design.
Native applications show advertisement even after turn off ads.",False,0.04983797
3,Fair,Product quality is ok ok not so good,False,0.05973623
3,Just okay,Display very bad,False,0.04086442
3,Good,Flashlight is very poor.,False,0.05540789
3,Nice,Very nice moblie hai,False,0.09981643
3,Good,"Display is bit on the weaker side
Pictures has lots of grains
Proximity sensor doesn't work well
Display size is too big",False,0.06772344
3,Just okay,"It hangs very badly.
Not upto mark.",False,0.02753085
3,Fair,Internet are very slow,False,0.08994398
3,Nice,"Some function not work properly
Some time hang
YouTube notification not close showing every time",False,0.06538815
3,Fair,"Expected as committed delivery, good fast charging and back side looks so stunning but overall camera quality not as expected",False,0.03094563
3,Fair,Below average,False,0.05340092
3,Just okay,"Heating while sim data is on, apps are not installing from play store, some of the apps are misbehaving. Developer options missing.",False,0.06260014
3,Does the job,"Average rating because of
1 Fingerprint placement
2 front camera not good
3 not provided screen guard

Worst delivery by Flipkart",False,0.03119945
